股票代码,股票名称,生效日期,失效日期
600816,安信信托,2018-02-01,2018-02-28
600820,隧道股份,2018-02-01,2018-02-28
600827,百联股份,2018-02-01,2018-02-28
600837,海通证券,2018-02-01,2018-02-28
600871,*ST油服,2018-02-01,2018-02-28
600886,国投电力,2018-02-01,2018-02-28
600887,伊利股份,2018-02-01,2018-02-28
600893,航发动力,2018-02-01,2018-02-28
600895,张江高科,2018-02-01,2018-02-28
600900,长江电力,2018-02-01,2018-02-28
600909,华安证券,2018-02-01,2018-02-28
600919,江苏银行,2018-02-01,2018-02-28
600926,杭州银行,2018-02-01,2018-02-28
600958,东方证券,2018-02-01,2018-02-28
600959,江苏有线,2018-02-01,2018-02-28
600977,中国电影,2018-02-01,2018-02-28
600999,招商证券,2018-02-01,2018-02-28
601006,大秦铁路,2018-02-01,2018-02-28
601009,南京银行,2018-02-01,2018-02-28
601012,隆基股份,2018-02-01,2018-02-28
601018,宁波港,2018-02-01,2018-02-28
601021,春秋航空,2018-02-01,2018-02-28
601088,中国神华,2018-02-01,2018-02-28
601099,太平洋,2018-02-01,2018-02-28
601111,中国国航,2018-02-01,2018-02-28
601117,中国化学,2018-02-01,2018-02-28
601118,海南橡胶,2018-02-01,2018-02-28
601155,新城控股,2018-02-01,2018-02-28
601163,三角轮胎,2018-02-01,2018-02-28
601166,兴业银行,2018-02-01,2018-02-28
601169,北京银行,2018-02-01,2018-02-28
601186,中国铁建,2018-02-01,2018-02-28
601198,东兴证券,2018-02-01,2018-02-28
601211,国泰君安,2018-02-01,2018-02-28
601212,白银有色,2018-02-01,2018-02-28
601216,君正集团,2018-02-01,2018-02-28
601225,陕西煤业,2018-02-01,2018-02-28
601228,广州港,2018-02-01,2018-02-28
601229,上海银行,2018-02-01,2018-02-28
601288,农业银行,2018-02-01,2018-02-28
601318,中国平安,2018-02-01,2018-02-28
601328,交通银行,2018-02-01,2018-02-28
601333,广深铁路,2018-02-01,2018-02-28
601336,新华保险,2018-02-01,2018-02-28
601375,中原证券,2018-02-01,2018-02-28
601377,兴业证券,2018-02-01,2018-02-28
601390,中国中铁,2018-02-01,2018-02-28
601398,工商银行,2018-02-01,2018-02-28
601555,东吴证券,2018-02-01,2018-02-28
601600,中国铝业,2018-02-01,2018-02-28
601601,中国太保,2018-02-01,2018-02-28
601607,上海医药,2018-02-01,2018-02-28
601608,中信重工,2018-02-01,2018-02-28
601611,中国核建,2018-02-01,2018-02-28
601618,中国中冶,2018-02-01,2018-02-28
601628,中国人寿,2018-02-01,2018-02-28
601633,长城汽车,2018-02-01,2018-02-28
601668,中国建筑,2018-02-01,2018-02-28
601669,中国电建,2018-02-01,2018-02-28
601688,华泰证券,2018-02-01,2018-02-28
601718,际华集团,2018-02-01,2018-02-28
601727,上海电气,2018-02-01,2018-02-28
601766,中国中车,2018-02-01,2018-02-28
601788,光大证券,2018-02-01,2018-02-28
601800,中国交建,2018-02-01,2018-02-28
601818,光大银行,2018-02-01,2018-02-28
601857,中国石油,2018-02-01,2018-02-28
601866,中远海发,2018-02-01,2018-02-28
601872,招商轮船,2018-02-01,2018-02-28
601877,正泰电器,2018-02-01,2018-02-28
601878,浙商证券,2018-02-01,2018-02-28
601881,中国银河,2018-02-01,2018-02-28
601888,中国国旅,2018-02-01,2018-02-28
601898,中煤能源,2018-02-01,2018-02-28
601899,紫金矿业,2018-02-01,2018-02-28
601901,方正证券,2018-02-01,2018-02-28
601919,中远海控,2018-02-01,2018-02-28
601933,永辉超市,2018-02-01,2018-02-28
601939,建设银行,2018-02-01,2018-02-28
601958,金钼股份,2018-02-01,2018-02-28
601966,玲珑轮胎,2018-02-01,2018-02-28
601985,中国核电,2018-02-01,2018-02-28
601988,中国银行,2018-02-01,2018-02-28
601989,中国重工,2018-02-01,2018-02-28
601991,大唐发电,2018-02-01,2018-02-28
601992,金隅集团,2018-02-01,2018-02-28
601997,贵阳银行,2018-02-01,2018-02-28
601998,中信银行,2018-02-01,2018-02-28
603160,汇顶科技,2018-02-01,2018-02-28
603799,华友钴业,2018-02-01,2018-02-28
603833,欧派家居,2018-02-01,2018-02-28
603858,步长制药,2018-02-01,2018-02-28
603993,洛阳钼业,2018-02-01,2018-02-28
000001,平安银行,2018-03-01,2018-03-30
000002,万科A,2018-03-01,2018-03-30
000008,神州高铁,2018-03-01,2018-03-30
000060,中金岭南,2018-03-01,2018-03-30
000063,中兴通讯,2018-03-01,2018-03-30
000069,华侨城A,2018-03-01,2018-03-30
000100,TCL集团,2018-03-01,2018-03-30
000157,中联重科,2018-03-01,2018-03-30
000166,申万宏源,2018-03-01,2018-03-30
000333,美的集团,2018-03-01,2018-03-30
000338,潍柴动力,2018-03-01,2018-03-30
